timestamp,stage,duration_s,mem_delta_mb,cpu_user_s,cpu_system_s,rows,dataset
2025-09-29T21:25:14.129801,extract_users,0.005,2.27,0.006,0.001,2000.0,real
2025-09-29T21:25:14.137259,extract_sessions,0.007,3.97,0.005,0.001,10000.0,real
2025-09-29T21:25:14.143229,extract_content,0.006,0.69,0.002,0.001,300.0,real
2025-09-29T21:25:14.151066,transform,0.008,5.2,0.005,0.001,10000.0,real
2025-09-29T21:25:14.155182,descriptive_stats_users,0.004,0.23,0.002,0.001,,real
2025-09-29T21:25:14.156960,dq_users,0.002,0.23,0.001,0.0,,real
2025-09-29T21:25:14.157511,outliers_users,0.001,0.0,0.0,0.0,,real
2025-09-29T21:25:14.159716,descriptive_stats_sessions,0.002,0.02,0.002,0.0,,real
2025-09-29T21:25:14.163649,dq_sessions,0.004,0.11,0.003,0.0,,real
2025-09-29T21:25:14.164788,outliers_sessions,0.001,0.03,0.001,0.0,,real
2025-09-29T21:25:14.168571,descriptive_stats_content,0.004,0.12,0.003,0.0,,real
2025-09-29T21:25:14.170384,dq_content,0.002,0.03,0.001,0.0,,real
2025-09-29T21:25:14.171673,outliers_content,0.001,0.0,0.001,0.0,,real
2025-09-29T21:25:14.180490,aggregate_user_metrics,0.009,0.98,0.005,0.001,1983.0,real
2025-09-29T21:25:14.264449,cluster_users,0.084,2.23,0.124,0.238,1983.0,real
2025-09-29T21:25:14.272867,export_analysis_outputs,0.008,1.83,0.031,0.04,,real
2025-09-29T21:25:15.228569,load_incremental,0.956,471.38,1.14,1.135,10000.0,real
