session_id,user_id,content_id,watch_date,watch_duration_minutes,completion_percentage,device_type,quality_level,created_at,session_duration_min,completion_rate
S216744,U4856,S002,2024-03-03,20,100.0,Smart Tv,HD,2025-09-17 01:06:31.876156,20,1.0
S114086,U2552,M090,2024-05-08,33,39.1,Mobile,SD,2025-09-17 01:06:31.876156,33,0.391
S183281,U4123,M009,2024-03-01,79,88.9,Desktop,4K,2025-09-17 01:06:31.876156,79,0.889
S147292,U3301,M120,2024-02-20,97,93.7,Smart Tv,4K,2025-09-17 01:06:31.876156,97,0.937
S138522,U3101,M112,2024-07-01,136,81.7,Desktop,4K,2025-09-17 01:06:31.876156,136,0.8170000000000001
S110332,U2464,S081,2024-05-09,22,78.1,Smart Tv,SD,2025-09-17 01:06:31.876156,22,0.7809999999999999
S114585,U2564,M170,2024-03-02,125,100.0,Desktop,HD,2025-09-17 01:06:31.876156,125,1.0
S024787,U0567,M196,2024-01-07,66,66.0,Mobile,SD,2025-09-17 01:06:31.876156,66,0.66
S036288,U0813,M112,2024-04-18,136,81.5,Tablet,4K,2025-09-17 01:06:31.876156,136,0.815
S166468,U3731,M006,2024-04-21,157,100.0,Mobile,SD,2025-09-17 01:06:31.876156,157,1.0
S057032,U1278,S022,2024-05-16,27,73.9,Smart Tv,SD,2025-09-17 01:06:31.876156,27,0.7390000000000001
S222138,U4988,S005,2024-04-04,24,85.9,Desktop,SD,2025-09-17 01:06:31.876156,24,0.8590000000000001
S158787,U3552,M126,2024-08-12,91,81.7,Desktop,HD,2025-09-17 01:06:31.876156,91,0.8170000000000001
S218340,U4891,M005,2024-02-20,163,96.5,Desktop,HD,2025-09-17 01:06:31.876156,163,0.965
S103378,U2312,M085,2024-07-29,127,85.2,Tablet,4K,2025-09-17 01:06:31.876156,127,0.852
S023606,U0537,S024,2024-01-08,40,83.9,Mobile,HD,2025-09-17 01:06:31.876156,40,0.8390000000000001
S100680,U2248,S065,2024-07-19,19,43.6,Smart Tv,SD,2025-09-17 01:06:31.876156,19,0.436
S081889,U1828,M125,2024-08-16,72,44.3,Smart Tv,HD,2025-09-17 01:06:31.876156,72,0.44299999999999995
S182170,U4095,M167,2024-08-16,74,52.4,Tablet,HD,2025-09-17 01:06:31.876156,74,0.524
S217772,U4878,S023,2024-05-29,36,89.4,Smart Tv,4K,2025-09-17 01:06:31.876156,36,0.894
S161252,U3610,M082,2024-04-22,74,55.4,Gaming Console,HD,2025-09-17 01:06:31.876156,74,0.5539999999999999
S154254,U3456,M028,2024-01-21,175,100.0,Tablet,4K,2025-09-17 01:06:31.876156,175,1.0
S172579,U3872,M155,2024-06-07,78,68.1,Mobile,HD,2025-09-17 01:06:31.876156,78,0.6809999999999999
S022049,U0499,S038,2024-05-08,50,96.7,Mobile,SD,2025-09-17 01:06:31.876156,50,0.9670000000000001
S115783,U2586,S082,2024-05-30,23,50.8,Smart Tv,HD,2025-09-17 01:06:31.876156,23,0.508
S113293,U2530,M126,2024-01-31,83,74.1,Gaming Console,HD,2025-09-17 01:06:31.876156,83,0.741
S176248,U3949,S093,2024-01-21,47,100.0,Smart Tv,HD,2025-09-17 01:06:31.876156,47,1.0
S040337,U0896,M116,2024-05-05,37,27.3,Desktop,4K,2025-09-17 01:06:31.876156,37,0.273
S187646,U4221,M118,2024-03-23,123,100.0,Mobile,HD,2025-09-17 01:06:31.876156,123,1.0
S013121,U0302,M166,2024-06-24,135,87.5,Mobile,4K,2025-09-17 01:06:31.876156,135,0.875
S034352,U0777,M031,2024-03-13,95,92.0,Mobile,HD,2025-09-17 01:06:31.876156,95,0.92
S016387,U0374,M105,2024-08-16,74,71.6,Mobile,HD,2025-09-17 01:06:31.876156,74,0.716
S097709,U2180,S033,2024-07-08,12,44.9,Mobile,HD,2025-09-17 01:06:31.876156,12,0.449
S092990,U2067,M142,2024-07-11,128,75.2,Mobile,4K,2025-09-17 01:06:31.876156,128,0.752
S061689,U1384,S082,2024-05-22,42,92.4,Tablet,4K,2025-09-17 01:06:31.876156,42,0.924
S208108,U4669,S085,2024-07-23,23,89.9,Mobile,SD,2025-09-17 01:06:31.876156,23,0.899
S063098,U1414,M081,2024-02-23,151,95.6,Desktop,HD,2025-09-17 01:06:31.876156,151,0.956
S149034,U3341,S092,2024-02-02,53,92.6,Smart Tv,4K,2025-09-17 01:06:31.876156,53,0.9259999999999999
S153507,U3440,M103,2024-03-12,145,93.0,Tablet,HD,2025-09-17 01:06:31.876156,145,0.93
S119238,U2668,M118,2024-01-19,100,81.8,Desktop,4K,2025-09-17 01:06:31.876156,100,0.818
S013480,U0311,M006,2024-06-16,157,100.0,Smart Tv,HD,2025-09-17 01:06:31.876156,157,1.0
S007723,U0176,S039,2024-01-02,45,88.0,Tablet,SD,2025-09-17 01:06:31.876156,45,0.88
S079482,U1773,M085,2024-06-08,150,100.0,Tablet,SD,2025-09-17 01:06:31.876156,150,1.0
S022908,U0517,S057,2024-04-04,22,96.2,Mobile,SD,2025-09-17 01:06:31.876156,22,0.9620000000000001
S043345,U0970,S074,2024-01-03,39,83.4,Mobile,SD,2025-09-17 01:06:31.876156,39,0.8340000000000001
S181459,U4078,M074,2024-02-28,145,99.5,Tablet,4K,2025-09-17 01:06:31.876156,145,0.995
S138846,U3109,M032,2024-02-27,119,89.7,Smart Tv,4K,2025-09-17 01:06:31.876156,119,0.897
S025842,U0583,M018,2024-06-15,82,97.6,Mobile,HD,2025-09-17 01:06:31.876156,82,0.976
S128266,U2870,M052,2024-08-03,120,100.0,Smart Tv,4K,2025-09-17 01:06:31.876156,120,1.0
S122739,U2745,M134,2024-05-19,80,60.2,Mobile,SD,2025-09-17 01:06:31.876156,80,0.602
