user_id,sessions_count,avg_duration,duration_std,avg_completion,completion_std,unique_content,age,subscription_type,country,subscription_numeric,cluster_kmeans
U00001,6,68.16666666666667,38.80420939365557,70.18518518518518,35.92458951313491,6,56.0,Standard,Brazil,2,2
U00002,1,24.0,0.0,26.666666666666668,0.0,1,78.0,Standard,Mexico,2,0
U00003,4,50.25,46.59309677051598,50.83333333333333,43.87013195063647,4,28.0,Standard,Colombia,2,2
U00004,3,60.333333333333336,42.19399641339196,60.0,34.71222078180735,3,57.0,Standard,Peru,2,2
U00005,1,4.0,0.0,4.444444444444445,0.0,1,19.0,Standard,Peru,2,0
U00006,2,93.0,12.727922061357855,96.66666666666666,4.71404520791033,2,19.0,Basic,Colombia,1,1
U00007,5,48.6,49.318353581602864,49.11111111111111,48.3071448847226,5,29.0,Standard,Colombia,2,2
U00008,5,73.8,33.9587985653203,76.44444444444444,32.49311418032754,4,42.0,Basic,Brazil,1,2
U00009,5,53.4,35.16105800455953,54.666666666666664,29.808027752914455,5,45.0,Premium,Peru,3,2
U00010,10,63.8,36.2454594857526,65.22222222222223,33.02345676704657,10,79.0,Basic,Chile,1,2
U00011,6,35.166666666666664,41.532718026474825,34.81481481481482,36.8022185768884,6,74.0,Basic,Brazil,1,2
U00012,6,56.0,19.131126469708992,62.22222222222222,21.256807188565546,6,38.0,Standard,Mexico,2,2
U00013,8,73.875,26.749833110293817,75.97222222222221,20.478728155779276,7,77.0,Standard,Mexico,2,2
U00014,9,61.44444444444444,34.65224058813193,64.44444444444444,32.82952600598701,9,43.0,Basic,Chile,1,2
U00015,3,69.0,12.12435565298214,76.66666666666667,13.471506281091264,3,64.0,Standard,Chile,2,1
U00016,6,64.0,24.551985663078252,69.25925925925925,24.227997952238283,5,64.0,Basic,Argentina,1,2
U00017,7,42.857142857142854,29.111444321369394,47.61904761904763,32.346049245966,7,57.0,Standard,Peru,2,2
U00018,5,37.6,46.88069965348214,35.333333333333336,38.25999425632244,5,59.0,Standard,Colombia,2,2
U00019,8,50.75,39.41990070292633,53.19444444444444,38.66574301031448,8,35.0,Standard,Mexico,2,2
U00020,4,63.5,53.131911315140925,60.833333333333336,47.9314926070438,4,79.0,Premium,Peru,3,2
U00021,6,80.33333333333333,17.974055376198958,86.85185185185185,17.7000616120385,6,77.0,Basic,Colombia,1,1
U00022,5,76.4,44.39932431918306,74.22222222222221,39.08205991765797,5,62.0,Basic,Colombia,1,2
U00023,9,54.0,47.15665382530868,52.46913580246914,42.13359769672754,9,43.0,Premium,Chile,3,2
U00024,7,62.42857142857143,43.88187607223565,63.01587301587301,41.98625233415823,7,46.0,Premium,Argentina,3,2
U00025,4,71.25,39.50843791731921,72.22222222222223,35.206621150566356,4,26.0,Standard,Chile,2,2
U00026,7,78.57142857142857,35.542730822007954,77.3015873015873,29.354209342342212,7,41.0,Basic,Brazil,1,2
U00027,6,58.0,41.6076915966267,62.03703703703704,43.39549198107835,6,25.0,Standard,Argentina,2,2
U00028,8,68.875,35.26000364638179,68.47222222222223,28.42073354503883,7,59.0,Basic,Argentina,1,2
U00029,5,77.6,27.87113201863175,80.66666666666666,23.155406269512365,5,24.0,Premium,Chile,3,1
U00030,3,51.333333333333336,45.081407845511364,52.22222222222222,41.82562272159714,3,65.0,Basic,Peru,1,2
U00031,8,56.625,25.184675045409204,61.25,24.762985833136806,8,54.0,Standard,Peru,2,2
U00032,5,89.2,28.83053936366782,88.66666666666667,25.342103744997615,5,18.0,Basic,Peru,1,1
U00033,5,69.8,25.242820761555155,74.88888888888889,24.159960755425573,5,18.0,Standard,Peru,2,1
U00034,4,51.25,32.05594068707598,56.94444444444444,35.61771187452887,4,26.0,Standard,Mexico,2,2
U00035,4,47.25,30.478134238608945,52.5,33.864593598454384,4,77.0,Basic,Argentina,1,2
U00036,2,32.5,10.606601717798213,36.111111111111114,11.785113019775789,2,78.0,Standard,Peru,2,0
U00037,7,50.57142857142857,35.906624935876586,56.19047619047619,39.89624992875176,6,62.0,Standard,Colombia,2,2
U00038,2,19.5,7.7781745930520225,21.666666666666668,8.642416214502248,2,30.0,Basic,Brazil,1,0
U00039,3,60.666666666666664,37.112441759244746,65.18518518518518,38.124768096171174,3,39.0,Premium,Mexico,3,2
U00040,4,65.25,29.067450295247202,68.05555555555556,24.196979711536184,4,79.0,Standard,Peru,2,1
U00041,1,28.0,0.0,31.11111111111111,0.0,1,45.0,Basic,Chile,1,0
U00042,5,58.6,44.03748403349129,58.88888888888889,39.510898637099,5,79.0,Standard,Mexico,2,2
U00043,2,80.0,48.08326112068523,75.55555555555556,34.56966485800899,2,79.0,Basic,Argentina,1,1
U00044,4,100.25,17.519037264263886,96.38888888888889,7.222222222222228,4,79.0,Basic,Colombia,1,1
U00045,2,45.5,19.091883092036785,50.55555555555556,21.213203435596427,2,20.0,Basic,Brazil,1,0
U00046,4,66.25,43.759760815921595,68.05555555555554,42.040300085462285,4,79.0,Basic,Brazil,1,2
U00047,6,63.833333333333336,37.70101678558109,66.66666666666667,37.01851388657263,6,61.0,Basic,Brazil,1,2
U00048,6,39.166666666666664,16.424575083291096,43.51851851851851,18.249527870323437,6,49.0,Standard,Chile,2,0
U00049,3,77.0,27.83882181415011,79.25925925925925,21.12085545093816,3,79.0,Premium,Chile,3,1
U00050,4,45.5,33.04037933599835,49.44444444444444,34.53989165047189,4,79.0,Standard,Brazil,2,2
U00051,3,35.333333333333336,14.502873278538061,39.25925925925926,16.11430364282007,3,54.0,Basic,Argentina,1,0
