user_id,age,country,subscription_type,registration_date,total_watch_time_hours,created_at,updated_at,registration_year,age_group
U0001,21,Argentina,Basic,2022-10-02,58.0,2025-09-17 01:06:31.550836,2025-09-17 01:06:31.550836,2022,18-24
U0002,44,Mexico,Standard,2022-09-30,75.3,2025-09-17 01:06:31.550836,2025-09-17 01:06:31.550836,2022,35-44
U0003,20,Argentina,Standard,2023-01-24,360.0,2025-09-17 01:06:31.550836,2025-09-17 01:06:31.550836,2023,18-24
U0004,39,Peru,Standard,2022-12-15,513.0,2025-09-17 01:06:31.550836,2025-09-17 01:06:31.550836,2022,35-44
U0005,28,Colombia,Basic,2022-05-19,192.8,2025-09-17 01:06:31.550836,2025-09-17 01:06:31.550836,2022,25-34
U0006,39,Colombia,Standard,2023-12-20,156.2,2025-09-17 01:06:31.550836,2025-09-17 01:06:31.550836,2023,35-44
U0007,18,Colombia,Basic,2023-03-23,428.0,2025-09-17 01:06:31.550836,2025-09-17 01:06:31.550836,2023,<18
U0008,56,Colombia,Standard,2023-01-22,47.8,2025-09-17 01:06:31.550836,2025-09-17 01:06:31.550836,2023,45-64
U0009,38,Mexico,Basic,2024-01-20,229.7,2025-09-17 01:06:31.550836,2025-09-17 01:06:31.550836,2024,35-44
U0010,20,Colombia,Standard,2022-04-05,444.7,2025-09-17 01:06:31.550836,2025-09-17 01:06:31.550836,2022,18-24
U0011,26,Argentina,Premium,2022-01-22,336.6,2025-09-17 01:06:31.550836,2025-09-17 01:06:31.550836,2022,25-34
U0012,45,Argentina,Standard,2023-08-11,292.4,2025-09-17 01:06:31.550836,2025-09-17 01:06:31.550836,2023,35-44
U0013,48,Argentina,Basic,2022-02-07,386.7,2025-09-17 01:06:31.550836,2025-09-17 01:06:31.550836,2022,45-64
U0014,39,Colombia,Basic,2023-06-19,402.7,2025-09-17 01:06:31.550836,2025-09-17 01:06:31.550836,2023,35-44
U0015,31,Mexico,Standard,2023-09-16,387.6,2025-09-17 01:06:31.550836,2025-09-17 01:06:31.550836,2023,25-34
U0016,54,Mexico,Standard,2022-11-19,17.4,2025-09-17 01:06:31.550836,2025-09-17 01:06:31.550836,2022,45-64
U0017,59,Colombia,Standard,2023-06-10,240.7,2025-09-17 01:06:31.550836,2025-09-17 01:06:31.550836,2023,45-64
U0018,52,Colombia,Basic,2023-10-16,360.2,2025-09-17 01:06:31.550836,2025-09-17 01:06:31.550836,2023,45-64
U0019,56,Colombia,Premium,2023-05-13,477.2,2025-09-17 01:06:31.550836,2025-09-17 01:06:31.550836,2023,45-64
U0020,44,Peru,Standard,2023-01-19,311.9,2025-09-17 01:06:31.550836,2025-09-17 01:06:31.550836,2023,35-44
U0021,59,Argentina,Basic,2022-07-05,329.1,2025-09-17 01:06:31.550836,2025-09-17 01:06:31.550836,2022,45-64
U0022,23,Colombia,Standard,2023-05-14,438.8,2025-09-17 01:06:31.550836,2025-09-17 01:06:31.550836,2023,18-24
U0023,28,Chile,Basic,2022-12-09,192.6,2025-09-17 01:06:31.550836,2025-09-17 01:06:31.550836,2022,25-34
U0024,43,Colombia,Premium,2022-03-17,728.7,2025-09-17 01:06:31.550836,2025-09-17 01:06:31.550836,2022,35-44
U0025,42,Colombia,Standard,2023-08-10,469.9,2025-09-17 01:06:31.550836,2025-09-17 01:06:31.550836,2023,35-44
U0026,19,Mexico,Premium,2022-07-13,653.9,2025-09-17 01:06:31.550836,2025-09-17 01:06:31.550836,2022,18-24
U0027,58,Argentina,Standard,2023-01-08,17.6,2025-09-17 01:06:31.550836,2025-09-17 01:06:31.550836,2023,45-64
